"","V1","V2"
"245",7.75844525844526e-06,-0.000624327378290105
"246",7.79024216524216e-06,-0.000580985537249718
"247",7.82203907203907e-06,-0.000628934677508943
"248",7.85383597883598e-06,-0.00062235961335667
"249",7.88563288563288e-06,-0.000653286371649031
"250",7.91742979242979e-06,-0.000590032149467786
"251",7.9492266992267e-06,-0.000578115050617115
"252",7.9810236060236e-06,-0.000575261533177239
"253",8.01282051282051e-06,-0.000541119209218156
"254",8.04461741961742e-06,-0.000559643131108762
"255",8.07641432641433e-06,-0.000534494631322847
"256",8.10821123321123e-06,-0.000569827810377147
"257",8.14000814000814e-06,-0.000541535610665331
"258",8.17180504680505e-06,-0.000539993032430866
"259",8.20360195360195e-06,-0.000526853467281149
"260",8.23539886039886e-06,-0.000558952535216496
"261",8.26719576719577e-06,-0.000562711256262374
"262",8.29899267399267e-06,-0.000596396823099342
"263",8.33078958078958e-06,-0.00057909845200653
"264",8.36258648758649e-06,-0.000585516030008135
"265",8.39438339438339e-06,-0.000566390566627938
"266",8.4261803011803e-06,-0.000557916492550536
"267",8.45797720797721e-06,-0.000586421233804487
